Brand,Model,Year,Price,KM_Driven,Fuel_Type,Transmission,Condition,Location,Seller_Type,Phone,Days_Listed,Views,Body_Type
Peugeot,308,2019,117365,122388,Gasoline,Automatic,Very Good,Casablanca,Dealer,+212763114598,141,617,Sedan
Kia,Sportage,2019,150346,88626,Diesel,Automatic,Good,Casablanca,Dealer,+212681749083,180,303,Hatchback
Dacia,Dokker,2022,127265,33676,Diesel,Manual,Very Good,Marrakech,Private,+212732761199,83,98,Sedan
Dacia,Dokker,2018,69527,154897,Gasoline,Automatic,Excellent,Casablanca,Private,+212618359933,118,444,Hatchback
Dacia,Sandero,2024,146254,23289,Gasoline,Manual,Very Good,Rabat,Private,+212732814369,159,414,SUV
Dacia,Duster,2019,94353,88201,Diesel,Manual,Good,Marrakech,Private,+212739867351,153,549,Sedan
Dacia,Sandero,2020,81286,90295,Gasoline,Manual,Very Good,Tangier,Private,+212617428996,71,143,Sedan
Volkswagen,Tiguan,2018,164112,111348,Diesel,Manual,Good,Agadir,Private,+212781375810,22,207,Hatchback
Peugeot,308,2019,114467,121773,Diesel,Manual,Very Good,Marrakech,Dealer,+212639933639,18,202,Hatchback
Ford,Kuga,2019,173142,76834,Diesel,Manual,Good,Oujda,Private,+212680219245,119,102,SUV
Peugeot,308,2020,127482,88556,Gasoline,Automatic,Very Good,Marrakech,Private,+212727522230,114,283,Hatchback
Volkswagen,Tiguan,2018,162816,141316,Diesel,Manual,Good,Kenitra,Dealer,+212780124060,24,473,Sedan
Dacia,Duster,2022,166635,46706,Gasoline,Manual,Excellent,Rabat,Private,+212667259557,26,363,Sedan
Renault,Megane,2021,157305,70659,Diesel,Automatic,Very Good,Oujda,Dealer,+212729411551,119,363,Pickup
Nissan,Juke,2021,192679,53486,Gasoline,Automatic,Very Good,Casablanca,Private,+212639665092,80,122,Pickup
Nissan,Patrol,2018,321139,134787,Diesel,Automatic,Good,Meknes,Private,+212722881097,163,118,Sedan
Volkswagen,Golf,2022,215205,58707,Diesel,Manual,Excellent,Tangier,Private,+212644205104,44,381,SUV
Hyundai,i20,2022,115814,45012,Gasoline,Automatic,Good,Rabat,Dealer,+212789189713,31,102,Hatchback
Dacia,Sandero,2021,80318,59276,Gasoline,Automatic,Fair,Marrakech,Dealer,+212772999881,141,414,SUV
Dacia,Duster,2021,109374,81245,Diesel,Manual,Good,Marrakech,Dealer,+212615344978,126,401,Hatchback
Dacia,Logan,2022,126697,43844,Gasoline,Automatic,Very Good,Rabat,Dealer,+212748121117,79,136,Sedan
Dacia,Lodgy,2021,94894,85207,Diesel,Automatic,Good,Marrakech,Dealer,+212784188377,16,98,Sedan
Kia,Sportage,2022,262103,42446,Diesel,Manual,Very Good,Casablanca,Dealer,+212754669385,13,336,Sedan
Ford,Fiesta,2022,129752,41348,Gasoline,Manual,Very Good,Meknes,Dealer,+212640732116,51,120,SUV
Ford,Focus,2022,181109,53854,Gasoline,Manual,Excellent,Oujda,Private,+212715187461,56,271,Van
Volkswagen,Polo,2019,84918,80777,Diesel,Manual,Good,Rabat,Private,+212722050227,177,278,Sedan
Ford,Kuga,2023,277353,37825,Gasoline,Automatic,Good,Casablanca,Private,+212691309292,52,507,Sedan
Toyota,Hilux,2020,228408,84724,Diesel,Manual,Good,Oujda,Dealer,+212789536498,53,380,Hatchback
Renault,Megane,2020,108846,112086,Diesel,Manual,Good,Kenitra,Private,+212611070098,111,237,SUV
Toyota,Corolla,2018,95861,86571,Gasoline,Manual,Good,Oujda,Private,+212739126268,47,436,Hatchback
Toyota,Yaris,2020,95395,80546,Gasoline,Automatic,Very Good,Casablanca,Private,+212675336755,9,97,Sedan
Nissan,Qashqai,2020,176210,100001,Gasoline,Automatic,Very Good,Marrakech,Dealer,+212667259300,64,272,Sedan
